센터명,센터유형,도로명주소,지번주소,위도,경도,관리기관전화번호,운영기관전화번호,관할지자체,주요프로그램,데이터기준일자
합천군 치매안심센터,치매안심센터,경상남도 합천군 합천읍 동서로 39,,35.56792811,128.1567534,055-930-4000,055-930-4091,경상남도 합천군,치매조기검진+치매진단검사+치매치료관리비 지원+치매환자 조호물품 제공+치매환자 실종예방 사업+치매환자 쉼터 운영+치매환자 가족교실 운영,2026-05-12
거창군치매안심센터,치매안심센터,경상남도 거창군 거창읍 거함대로 3079,경상남도 거창군 거창읍 송정리 1095,35.6809363,127.8987274,055-940-7910,055-940-7910,경상남도 거창군,치매환자 상담 및 등록 관리+치매 조기검진 및 진단+치매치료관리비 지원+치매환자 조호물품지원+노인성 질환자 위생용품 지원+치매 실종예방·배회감지기 지원+치매 안심 프로그램 운영 치매파트너 양성+치매극복 선도기관 지정+치매환자 공공 후견 지원+인식개선 및 홍보 사업+치매예방교육 등,2026-03-18
창녕군 치매안심센터,치매안심센터,경상남도 창녕군 창녕읍 군청1길 37,경상남도 창녕군 창녕읍 교리 996-1,35.543618,128.490055,055-530-7503,055-530-7503,경상남도 창녕군,치매환자 등록 및 관리+치매조기검진+치매예방교육 및 인식개선+치매가족교육 및 자조모임+쉼터프로그램운영 등,2026-05-08
영천시치매안심센터,치매안심센터,경상북도 영천시 옛군청 1길 31,경상북도 영천시 문내동 152-1,35.9687455,128.9324014,054-339-7844,054-339-7845,경상북도 영천시,치매선별검사+치매예방홍보+치매서포터즈운영+치매진단검사+예방프로그램 운영+인지강화프로그램 운영+치매환자프로그램 운영+치매치료관리비 지원+치매대상자 사례관리+치매대상자 실종예방 배회인식표 발급 및 지문등록+조호물품 지원,2026-06-18
영주시치매안심센터,치매안심센터,경상북도 영주시 영주로159번길 73,경상북도 영주시 영주동 479-1,36.8287755,128.6159883,054-777-6400,054-639-5733,경상북도 영주시,치매상담등록+사례관리+조기검진+쉼터지원 및 가족지원+인식개선 홍보 등,2026-06-17
구미시선산치매안심센터,치매안심센터,경상북도 구미시 선산읍 선주로 121,경상북도 구미시 선산읍 동부리 544-1,36.24417904,128.2999491,054-880-3798,054-480-4350,경상북도 구미시,치매환자 등록 및 상담+맞춤형 사례관리+치매조기검진+치매환자쉼터 및 예방교실+치매가족지원사업+치매인식개선사업 등,2026-06-25
구미치매안심센터,치매안심센터,경상북도 구미시 지산11길 8-1,경상북도 구미시 지산동 853-141,36.139463,128.3455203,054-880-3798,054-480-4880,경상북도 구미시,치매환자 등록 및 상담+맞춤형 사례관리+치매조기검진+치매환자쉼터 및 예방교실+치매가족지원사업+치매인식개선사업 등,2026-06-25
장수치매정신통합센터,치매안심센터,"전북특별자치도 장수군 장수읍 장천로 255-10, 2층",전북특별자치도 장수군 장수읍 노하리 364,35.65513121,127.5191364,063-351-8000,063-350-2670,전북특별자치도 장수군,상담 등록서비스+치매조기검진서비스+치매치료관리비 지원+조호물품 지원+맞춤형 사례관리 서비스+치매환자 쉼터 프로그램 운영+치매환자 가족지원서비스+치매예방관리사업+치매인식개선사업,2026-06-01
충청남도 예산군 치매안심센터,치매안심센터,충청남도 예산군 예산읍 군청로 22,충청남도 예산군 예산읍 예산리 777,36.68088054,126.8448507,041-339-6140,041-339-6140,충청남도 예산군,기억이음 청춘학교,2026-04-07
속초시치매안심센터,치매안심센터,강원특별자치도 속초시 수복로 36,강원특별자치도 속초시 교동 980,38.196194,128.5759527,033-639-2926,033-639-2071,강원특별자치도 속초시,치매조기검진+어울림 쉼터 인지재활 프로그램+인지강화 프로그램+경로당 치매예방 프로그램+치매가족  헤아림 프로그램+치매가족 헤아림 교육+자조모임 사랑회 운영+치매치료관리비 지원,2026-06-11
경기도 과천시 치매안심센터,치매안심센터,경기도 과천시 관문로 69 과천시치매안심센터 1층,경기도 과천시 중앙동 1-3 과천시치매안심센터 1층,37.43021609,126.986778,02-2150-3596,02-2150-3596,경기도 과천시,치매상담+등록관리+조기검진+단기쉼터운영+가족지원+실종예방지원+인식개선사업+조호물품 및 치매치료관리비 지원+치매예방교실+치매가족교실+치매파트너교육+치매공공후견인 발굴+치매안심마을+맞춤형사례관리+고위험군 인지강화교실 운영 등,2026-06-26
부천시치매안심센터,치매안심센터,경기도 부천시 원미구 길주로 410,경기도 부천시 원미구 춘의동 163-7,37.50363121,126.7880203,032-625-4421,032-625-4421,경기도 부천시,치매환자의 등록·관리+치매의 예방·교육 및 홍보+치매조기검진,2026-06-24
분당구보건소 치매안심센터,치매안심센터,경기도 성남시 분당구 내정로 94(정자동 한솔마을 711동 1층),경기도 성남시 분당구 정자동 101,37.367389,127.115509,031-729-8978,031-729-8783,경기도 성남시,상담 및 등록관리+치매 조기검진+치매예방관리+치매환자 쉼터 운영+치매지원 서비스+치매가족 및 보호자 지원사업+치매 인식개선 및 교육홍보+치매 안심마을 운영+치매 공공 후견사업,2026-05-29
중원구보건소 치매안심센터,치매안심센터,경기도 성남시 중원구 금상로 137(상대원동),경기도 성남시 중원구 상대원동 269-10,37.442188,127.170527,031-729-3922,031-739-3030,경기도 성남시,상담 및 등록관리+치매 조기검진+치매예방관리+치매환자 쉼터 운영+치매지원 서비스+치매가족 및 보호자 지원사업+치매 인식개선 및 교육홍보+치매 안심마을 운영+치매 공공 후견사업,2026-05-29
수정구보건소 치매안심센터,치매안심센터,경기도 성남시 수정구 수정로 218,경기도 성남시 수정구 신흥동 3435,37.444312,127.144060,031-729-3879,031-729-3879,경기도 성남시,상담 및 등록관리+치매 조기검진+치매예방관리+치매환자 쉼터 운영+치매지원 서비스+치매가족 및 보호자 지원사업+치매 인식개선 및 교육홍보+치매 안심마을 운영+치매 공공 후견사업,2026-05-29
